breed_code,sex,name,birthday,color,color_code,coat_type_code,weight_kg,microchip,genes,breeder_note,is_self_bred,is_external,breeder_name,supplier_name,acquired_on,status,note
TP,♀,メルティー,2021-11-19,AP,AP,,3.3,392149002433081,PRA,クッキー・サンダー,True,False,,,2021-11-19,在籍,
TP,♀,ビター,2022-06-28,BK,BK,,3.0,392146000942299,,縄田さん,False,False,エンジェルクラウン,エンジェルクラウン,,在籍,
TP,♀,カヌレ,2025-04-14,BK,BK,,2.5,392146001717375,DM・PRA・vWD1,,False,False,lala,lala,,在籍,
TP,♀,クッキー,2023-07-20,RD,RD,,2.6,392149002351252,,クッキー・ルイ,True,False,,,2023-07-20,在籍,
TP,♀,モコ,2024-01-13,RD,RD,,1.9,392149002413131,,モカ・ルイ,True,False,,,2024-01-13,在籍,
TP,♀,ピノ,2024-01-13,RD,RD,,1.9,392149002413129,,モカ・ルイ,True,False,,,2024-01-13,在籍,
TP,♀,マロン,2024-02-23,BK T,BKT,,2.6,392149002421400,,ララペット,False,False,lala,lala,,在籍,
TP,♀,ポコ,2024-05-11,RD,RD,,2.6,392146001459816,PRA,ぷちはうす,False,False,ぷちはうす,ぷちはうす,,在籍,
TP,♀,ロイズ,2024-10-15,RD,RD,,,392149002528849,,本澤さん,False,False,ドッグブリーダーラン,ドッグブリーダーラン,,在籍,
TP,♀,スフレ,2025-04-09,AP,AP,,2.0,392149002576608,,エンジェルプー,False,False,エンジェルプー,エンジェルプー,,在籍,
TP,♀,ペコ,2025-07-06,ブラタン,BKT,,2.6,392146001602275,,ピノ・エルメス,True,False,,,2025-07-06,在籍,
ML,♀,ライチ,2022-08-09,,,,2.3,392149002232607,DM・グルコーゲン,アキナ・歌舞伎,False,False,シャルム,シャルム,,在籍,
ML,♀,ネーブル,2023-02-19,,,,2.6,392149002308249,,セロリ・絆,True,False,,,2023-02-19,在籍,
ML,♀,レモン,2023-05-30,,,,2.8,392149002464986,グルコーゲン,プリン・嵐,False,False,シャルム,シャルム,,在籍,
ML,♀,ベリー,2023-07-11,,,,2.6,392149002345492,,チェリー・絆,True,False,,,2023-07-11,在籍,
ML,♀,パイン,2023-11-28,,,,2.1,392146001347077,グルコーゲン,ショコラ・ハンター,False,False,,,,在籍,
ML,♀,メロン,2024-01-03,,,,2.6,392149002413198,グルコーゲン,チェリー・プラダ,False,False,,,,在籍,
ML,♀,プリン,2024-06-04,,,,2.2,392149002475736,グルコーゲン,パセリ・プラダ,True,False,,,2024-06-04,在籍,
ML,♀,バニラ,2024-07-20,,,,2.6,392146001506172,グルコーゲン,ROYAL11,False,False,ROYAL11,ROYAL11,,在籍,
ML,♀,ムース,2024-10-19,,,,2.3,392146001637038,グルコーゲン,ローズ・歌舞伎,False,False,シャルム,シャルム,,在籍,
ML,♀,みかん,2025-02-09,,,,2.0,392146001629419,,歌舞伎,False,False,プラチナムキッス,プラチナムキッス,,在籍,
