シート,行,犬種,名前,最終ワクチン,除外理由
名簿ワクチン♀,61,BFR,プラム,2023-08-14,連番なし（過去・参考の行）
名簿ワクチン♀,62,BFR,ロロ,2023-08-14,連番なし（過去・参考の行）
名簿ワクチン♀,63,BFR,ココ,2023-08-14,連番なし（過去・参考の行）
名簿ワクチン♀,64,BFR,メイ,2023-09-23,連番なし（過去・参考の行）
名簿ワクチン♀,65,BFR,トト,2023-07-31,連番なし（過去・参考の行）
名簿ワクチン♀,67,BFR,ミント,2022-09-09,連番なし（過去・参考の行）
名簿ワクチン♀,68,BFR,セロリ,2023-03-31,連番なし（過去・参考の行）
名簿ワクチン♀,69,BFR,キャメロン,2023-07-31,連番なし（過去・参考の行）
名簿ワクチン♀,70,BFR,チャイティ,2023-01-19,連番なし（過去・参考の行）
名簿ワクチン♀,71,BFR,クッキー,2023-02-07,連番なし（過去・参考の行）
名簿ワクチン♀,72,BFR,ココア,,連番なし（過去・参考の行）
名簿ワクチン♀,73,BFR,ポッキー,2023-02-07,連番なし（過去・参考の行）
名簿ワクチン♀,74,BFR,フェンディ,2023-09-09,連番なし（過去・参考の行）
名簿ワクチン♀,75,BFR,ゆき,2023-03-31,連番なし（過去・参考の行）
名簿ワクチン♀,76,BFR,キキ,2023-04-28,連番なし（過去・参考の行）
名簿ワクチン♀,77,BFR,ルル,2023-09-09,連番なし（過去・参考の行）
名簿ワクチン♀,78,BFR,チョコ,2023-02-07,連番なし（過去・参考の行）
名簿ワクチン♀,79,BFR,チェリー,2023-03-06,連番なし（過去・参考の行）
名簿ワクチン♀,82,BFR,つばさ,2023-07-31,連番なし（過去・参考の行）
名簿ワクチン ♂,16,,アル,2026-07-18,施主確認（2026-08-16）: 外部の種雄犬。EXTERNAL_SIRES として登録する
