dam_name,sire_name,birth_date,gestation_days,method,male_count,female_count,stillborn_count,note
ビター,エルメス,2024-10-26,64,自然,2,0,1,
ビター,エルメス,2025-07-26,67,自然,3,1,0,
クッキー,ディオ,2024-08-15,61,自然,1,1,0,
クッキー,エルメス,2025-04-10,60,自然,0,4,0,
クッキー,エルメス,2025-11-08,60,自然,1,0,1,
クッキー,エルメス,2026-06-07,62,自然,1,2,1,
モコ,エルメス,2025-11-24,58,帝王切開,1,0,0,
ピノ,ディオ,2024-12-20,63,自然,1,1,0,ネーブルへ
ピノ,エルメス,2025-07-06,60,自然,1,1,0,
ピノ,ハリー,2026-07-03,59,帝王切開,2,0,0,
マロン,エルメス,2026-01-09,61,自然,2,2,0,
マロン,アル,2026-08-02,60,自然,0,3,0,
ポコ,ルイ,2025-09-28,57,帝王切開,3,0,0,
ポコ,ドルチェ,2026-03-20,59,自然,0,1,0,
ロイズ,ヴィトン,2026-06-06,61,帝王切開,1,2,0,
ネーブル,ルイ,2024-06-02,57,帝王切開,1,2,0,
ネーブル,ルイ,2024-12-20,60,自然,1,0,0,
ネーブル,ルイ,2025-07-17,58,自然,1,2,0,
ネーブル,ルイ,2026-01-18,56,自然,0,1,2,
レモン,プラダ,2024-05-20,60,帝王切開,1,0,0,
レモン,ヴィトン,2024-12-10,61,自然,0,1,0,
レモン,歌舞伎,2025-06-25,59,帝王切開,0,4,0,剥離
レモン,ルイ,2026-01-11,61,自然,2,3,0,
レモン,ヴィトン,2026-07-23,57,帝王切開,2,1,1,剥離
ベリー,ルイ,2024-08-26,59,帝王切開,0,0,0,
ベリー,ルイ,2025-09-06,57,帝王切開,2,1,0,
ベリー,ルイ,2026-02-23,60,自然,2,1,0,
パイン,クリフ,2025-02-22,60,帝王切開,2,1,0,
パイン,ルイ,2025-10-28,58,帝王切開,5,0,0,
メロン,ピケ,2025-01-13,60,帝王切開,0,1,0,ピピヘ
メロン,歌舞伎,2025-08-03,58,帝王切開,1,2,0,
メロン,クリフ,2026-02-09,60,帝王切開,2,1,0,次帝する
プリン,ヴィトン,2025-08-29,61,帝王切開,1,1,0,
プリン,ヴィトン,2026-04-04,59,帝王切開,2,1,1,
バニラ,クリフ,2025-07-19,60,帝王切開,1,3,0,
バニラ,ヴィトン,2026-01-31,57,自然,1,4,0,
ムース,クリフ,2025-12-02,59,自然,0,3,0,
ジョジョ,クリフ,2024-09-14,62,帝王切開,2,3,0,
ジョジョ,クリフ,2025-04-18,57,帝王切開,0,2,2,
ジョジョ,クリフ,2026-05-21,58,帝王切開,3,1,0,
ジュジュ,クリフ,2024-02-10,57,帝王切開,3,3,0,
ジュジュ,クリフ,2024-09-14,59,自然,2,2,0,
ジュジュ,ポロ,2025-07-22,61,自然,5,2,0,
ジュジュ,クリフ,2026-03-09,65,自然,2,2,0,
モモ,,2024-04-02,62,自然,1,0,3,
モモ,ヴィトン,2024-12-31,63,自然,4,1,0,
モモ,ルイ,2025-06-08,59,自然,0,0,0,
モモ,ルイ,2025-12-12,57,自然,1,3,0,
クロミ,,2024-03-19,62,自然,2,2,0,
クロミ,,2024-11-03,62,帝王切開,2,2,0,
クロミ,ピケ,2025-04-22,60,帝王切開,1,3,0,
クロミ,クリフ,2026-04-30,60,帝王切開,2,2,0,
チコ,,2024-03-15,60,帝王切開,1,1,0,
チコ,クロム,2024-09-24,58,帝王切開,0,2,0,
チコ,ピケ,2025-06-22,59,帝王切開,0,3,0,
チコ,グラフ,2026-02-28,62,帝王切開,1,0,0,
テテ,,2023-08-31,,,1,1,0,
テテ,ピケ,2024-10-12,57,自然,1,0,0,ポポへ
テテ,ピケ,2025-07-15,59,自然,0,2,2,
テテ,ピケ,2026-02-01,60,自然,1,4,0,
トト,,2024-06-04,59,自然,1,3,1,
トト,ヴィトン,2024-12-29,61,帝王切開,1,2,0,
トト,ルイ,2025-07-17,59,帝王切開,2,2,0,
トト,グラフ,2026-02-18,61,帝王切開,3,0,0,
ノン,,2024-06-13,62,帝王切開,2,0,0,
ノン,ピケ,2024-12-27,63,帝王切開,1,0,0,
ノン,ポロ,2025-11-16,63,帝王切開,1,3,0,
ラン,,2024-07-01,59,帝王切開,2,1,0,
ラン,ポロ,2025-04-02,59,帝王切開,1,3,0,
ラン,ピケ,2026-03-06,61,後帝,2,2,0,
リン,,2024-05-31,,帝王切開,1,1,0,
リン,クリフ,2025-09-06,61,帝王切開,1,1,0,
リン,ポロ,2026-06-13,62,帝王切開,2,0,0,
リリ,,2024-07-10,65,帝王切開,2,0,0,
リリ,ディオ,2025-03-16,63,後帝,1,2,0,
リリ,クリフ,2025-11-27,61,自然,3,1,0,
リリ,ディオ,2026-06-11,61,帝王切開,2,0,0,
ルル,ピケ,2026-06-13,59,帝王切開,0,1,0,
クク,クリフ,2025-10-16,58,帝王切開,0,4,0,
クク,グラフ,2026-06-10,59,帝王切開,1,1,1,
ララ,ヴィトン,2026-01-14,61,自然,3,1,0,
ぽにょ,,2025-10-16,,帝王切開,1,0,0,
ぽにょ,,2026-04-24,,帝王切開,4,0,0,
ビビ,ハリー,2026-07-23,58,帝王切開,2,2,0,
パール,ハーレ,2024-05-27,68,自然,2,1,0,
パール,ハーレ,2025-01-09,64,自然,2,1,0,
パール,ハーレ,2025-08-29,63,自然,3,1,0,
パール,ハーレ,2026-04-09,65,自然,0,1,2,
サファイヤ,ルイ,2025-11-17,64,自然,3,1,0,
琥珀,ヴィトン,2025-12-05,60,自然,1,4,0,
琥珀,ヴィトン,2026-06-16,60,自然,3,2,0,
