種雄犬,犬種,判定根拠,交配記録
つばさ,（判定不能）,判定不能（交配記録なし）,
ゆきお,（判定不能）,判定不能（交配記録なし）,
アル,TP,確定（TPの母犬と同犬種の交配記録あり）,マロン(TP) 同犬種
ウルフ,（判定不能）,判定不能（交配記録なし）,
エルメス,TP,確定（TPの母犬と同犬種の交配記録あり）,ビター(TP) 同犬種 / ビター(TP) 同犬種 / クッキー(TP) 同犬種 / クッキー(TP) 同犬種 / クッキー(TP) 同犬種 / モコ(TP) 同犬種 / ピノ(TP) 同犬種 / マロン(TP) 同犬種
クリフ,CI,確定（CIの母犬と同犬種の交配記録あり）,パイン(ML) ミックス / メロン(ML) ミックス / バニラ(ML) ミックス / ムース(ML) ミックス / ジョジョ(CI) 同犬種 / ジョジョ(CI) 同犬種 / ジュジュ(CI) 同犬種 / ジュジュ(CI) 同犬種 / ジュジュ(CI) 同犬種 / クロミ(CI) 同犬種 / リン(CI) 同犬種 / リリ(CI) 同犬種 / クク(CI) 同犬種
クロム,CI,確定（CIの母犬と同犬種の交配記録あり）,チコ(CI) 同犬種
グラフ,CI,確定（CIの母犬と同犬種の交配記録あり）,チコ(CI) 同犬種 / トト(CI) 同犬種 / クク(CI) 同犬種
ダンヒル,（判定不能）,判定不能（交配記録なし）,
ディオ,ML,推定（CI・TP とのミックス記録のみ。消去法）,クッキー(TP) ミックス / ピノ(TP) ミックス / リリ(CI) ミックス / リリ(CI) ミックス
ドルチェ,ML,判定不能（TP） → 台帳のブロック位置から ML と判定,ポコ(TP) ミックス
ハク,（判定不能）,判定不能（交配記録なし）,
ハリー,TP,確定（TPの母犬と同犬種の交配記録あり）,ピノ(TP) 同犬種 / ビビ(CI) ミックス
ハーツ,（判定不能）,判定不能（交配記録なし）,
ハーレ,BFR,確定（BFRの母犬と同犬種の交配記録あり）,パール(BFR) 同犬種 / パール(BFR) 同犬種 / パール(BFR) 同犬種 / パール(BFR) 同犬種
バリー,（判定不能）,判定不能（交配記録なし）,
ピアジェ,CI,判定不能（交配記録なし） → 台帳のブロック位置から CI と判定,
ピケ,CI,確定（CIの母犬と同犬種の交配記録あり）,メロン(ML) ミックス / クロミ(CI) 同犬種 / チコ(CI) 同犬種 / テテ(CI) 同犬種 / テテ(CI) 同犬種 / テテ(CI) 同犬種 / ノン(CI) 同犬種 / ラン(CI) 同犬種 / ルル(CI) 同犬種
プラダ,ML,確定（MLの母犬と同犬種の交配記録あり）,レモン(ML) 同犬種
ポロ,CI,確定（CIの母犬と同犬種の交配記録あり）,ジュジュ(CI) 同犬種 / ノン(CI) 同犬種 / ラン(CI) 同犬種 / リン(CI) 同犬種
ポール,（判定不能）,判定不能（交配記録なし）,
モツ,CI,判定不能（交配記録なし） → 台帳のブロック位置から CI と判定,
モンクレール,TP,判定不能（交配記録なし） → 台帳のブロック位置から TP と判定,
ラルフ,（判定不能）,判定不能（交配記録なし）,
ルイ,TP,確定（TPの母犬と同犬種の交配記録あり）,ポコ(TP) 同犬種 / ネーブル(ML) ミックス / ネーブル(ML) ミックス / ネーブル(ML) ミックス / ネーブル(ML) ミックス / レモン(ML) ミックス / ベリー(ML) ミックス / ベリー(ML) ミックス / ベリー(ML) ミックス / パイン(ML) ミックス / モモ(CI) ミックス / モモ(CI) ミックス / トト(CI) ミックス / サファイヤ(BFR) ミックス
ロレックス,（判定不能）,判定不能（交配記録なし）,
ヴァン,CI,判定不能（交配記録なし） → 台帳のブロック位置から CI と判定,
ヴィトン,TP,矛盾（BFR・TP の複数犬種で「同犬種」の記録がある） → 台帳のブロック位置から TP と判定,ロイズ(TP) 同犬種 / レモン(ML) ミックス / レモン(ML) ミックス / プリン(ML) ミックス / プリン(ML) ミックス / バニラ(ML) ミックス / モモ(CI) ミックス / トト(CI) ミックス / ララ(CI) ミックス / 琥珀(BFR) ミックス / 琥珀(BFR) 同犬種
歌舞伎,ML,確定（MLの母犬と同犬種の交配記録あり）,レモン(ML) 同犬種 / メロン(ML) 同犬種
