種雄犬,犬種,判定根拠,交配記録
つばさ,CI,手動指定,
ゆきお,CI,手動指定,
アル,TP,確定（TPの母犬と同犬種の交配記録あり）,マロン(TP) 同犬種
ウルフ,PO,手動指定,
エルメス,TP,確定（TPの母犬と同犬種の交配記録あり）,ビター(TP) 同犬種 / ビター(TP) 同犬種 / クッキー(TP) 同犬種 / クッキー(TP) 同犬種 / クッキー(TP) 同犬種 / モコ(TP) 同犬種 / ピノ(TP) 同犬種 / マロン(TP) 同犬種
クリフ,CI,確定（CIの母犬と同犬種の交配記録あり）,パイン(ML) ミックス / メロン(ML) ミックス / バニラ(ML) ミックス / ムース(ML) ミックス / ジョジョ(CI) 同犬種 / ジョジョ(CI) 同犬種 / ジョジョ(CI) 同犬種 / ジュジュ(CI) 同犬種 / ジュジュ(CI) 同犬種 / ジュジュ(CI) 同犬種 / クロミ(CI) 同犬種 / リン(CI) 同犬種 / リリ(CI) 同犬種 / クク(CI) 同犬種
クロム,CI,手動指定,チコ(CI) 同犬種
グラフ,CI,確定（CIの母犬と同犬種の交配記録あり）,チコ(CI) 同犬種 / トト(CI) 同犬種 / クク(CI) 同犬種
ダンヒル,CI,手動指定,
ディオ,ML,推定（CI・TP とのミックス記録のみ。消去法）,クッキー(TP) ミックス / ピノ(TP) ミックス / リリ(CI) ミックス / リリ(CI) ミックス
ドルチェ,ML,判定不能（TP） → 台帳のブロック位置から ML と判定,ポコ(TP) ミックス
ハク,BFR,手動指定,
ハリー,ML,手動指定,ピノ(TP) 同犬種 / ビビ(CI) ミックス
ハリー（退役）,CI,手動指定,
ハーツ,CI,手動指定,
ハーレ,BFR,確定（BFRの母犬と同犬種の交配記録あり）,パール(BFR) 同犬種 / パール(BFR) 同犬種 / パール(BFR) 同犬種 / パール(BFR) 同犬種
バリー,CI,手動指定,
ピアジェ,CI,判定不能（交配記録なし） → 台帳のブロック位置から CI と判定,
ピケ,CI,確定（CIの母犬と同犬種の交配記録あり）,メロン(ML) ミックス / クロミ(CI) 同犬種 / チコ(CI) 同犬種 / テテ(CI) 同犬種 / テテ(CI) 同犬種 / テテ(CI) 同犬種 / ノン(CI) 同犬種 / ラン(CI) 同犬種 / ルル(CI) 同犬種
プラダ,ML,確定（MLの母犬と同犬種の交配記録あり）,レモン(ML) 同犬種
プラダ（退役）,ML,手動指定,
ポロ,CI,確定（CIの母犬と同犬種の交配記録あり）,ジュジュ(CI) 同犬種 / ノン(CI) 同犬種 / ラン(CI) 同犬種 / リン(CI) 同犬種
ポール,CI,手動指定,
モツ,CI,判定不能（交配記録なし） → 台帳のブロック位置から CI と判定,
モンクレール,TP,判定不能（交配記録なし） → 台帳のブロック位置から TP と判定,
ラルフ,CI,手動指定,
ルイ,TP,確定（TPの母犬と同犬種の交配記録あり）,ポコ(TP) 同犬種 / ネーブル(ML) ミックス / ネーブル(ML) ミックス / ネーブル(ML) ミックス / ネーブル(ML) ミックス / レモン(ML) ミックス / ベリー(ML) ミックス / ベリー(ML) ミックス / ベリー(ML) ミックス / パイン(ML) ミックス / モモ(CI) ミックス / モモ(CI) ミックス / トト(CI) ミックス / サファイヤ(BFR) ミックス
ロレックス,TP,手動指定,
ヴァン,CI,判定不能（交配記録なし） → 台帳のブロック位置から CI と判定,
ヴィトン,TP,矛盾（BFR・TP の複数犬種で「同犬種」の記録がある） → 台帳のブロック位置から TP と判定,ロイズ(TP) 同犬種 / レモン(ML) ミックス / レモン(ML) ミックス / プリン(ML) ミックス / プリン(ML) ミックス / バニラ(ML) ミックス / モモ(CI) ミックス / トト(CI) ミックス / ララ(CI) ミックス / 琥珀(BFR) ミックス / 琥珀(BFR) 同犬種
歌舞伎,ML,確定（MLの母犬と同犬種の交配記録あり）,レモン(ML) 同犬種 / メロン(ML) 同犬種
