dog_name,kind,dosed_on
メルティー,混合,2026-03-13
メルティー,狂犬病,2026-04-11
ビター,混合,2026-03-13
ビター,狂犬病,2026-04-11
カヌレ,混合,2026-02-16
カヌレ,狂犬病,2026-04-04
クッキー,混合,2026-02-16
モコ,混合,2026-02-16
モコ,狂犬病,2026-04-04
ピノ,混合,2026-03-03
ピノ,狂犬病,2026-04-11
マロン,混合,2026-03-13
マロン,狂犬病,2026-04-11
ポコ,狂犬病,2026-05-15
ロイズ,混合,2026-03-13
スフレ,混合,2025-08-06
スフレ,狂犬病,2026-04-04
ペコ,混合,2025-11-15
ペコ,狂犬病,2026-05-01
ライチ,混合,2026-02-16
ライチ,狂犬病,2026-05-15
ネーブル,混合,2026-03-13
ネーブル,狂犬病,2026-04-11
レモン,混合,2026-03-13
レモン,狂犬病,2026-04-11
ベリー,混合,2026-05-26
ベリー,狂犬病,2026-05-01
パイン,混合,2026-02-16
パイン,狂犬病,2026-04-11
メロン,混合,2026-05-26
メロン,狂犬病,2026-05-01
プリン,混合,2026-07-18
プリン,狂犬病,2026-05-15
バニラ,混合,2026-05-26
バニラ,狂犬病,2026-05-01
ムース,混合,2026-03-13
ムース,狂犬病,2026-04-11
みかん,混合,2025-06-18
みかん,狂犬病,2026-05-15
いちご,混合,2025-10-21
いちご,狂犬病,2026-05-01
あんず,混合,2025-10-21
あんず,狂犬病,2026-05-01
カシス,混合,2025-12-05
カシス,狂犬病,2026-05-01
オレンジ,混合,2025-12-05
オレンジ,狂犬病,2026-05-01
ポポ,混合,2026-03-03
ポポ,狂犬病,2026-04-04
ミミ,狂犬病,2026-05-15
ロロ,混合,2026-07-18
ロロ,狂犬病,2026-05-15
ジョジョ,混合,2026-02-16
ジョジョ,狂犬病,2026-06-22
ジュジュ,混合,2026-07-18
ジュジュ,狂犬病,2026-05-15
モモ,混合,2026-02-16
クロミ,混合,2026-02-16
クロミ,狂犬病,2026-06-22
チコ,混合,2026-05-26
チコ,狂犬病,2026-05-01
テテ,混合,2026-05-26
テテ,狂犬病,2026-05-01
トト,混合,2026-05-26
トト,狂犬病,2026-05-01
ノン,混合,2026-02-16
ノン,狂犬病,2026-04-04
ラン,狂犬病,2026-05-15
リン,混合,2026-02-16
リン,狂犬病,2026-04-04
リリ,混合,2026-02-16
ルル,混合,2026-02-16
クク,混合,2026-02-16
ララ,混合,2026-03-13
ララ,狂犬病,2026-04-11
ぽにょ,混合,2025-07-24
キキ,混合,2026-07-18
キキ,狂犬病,2026-05-15
ビビ,混合,2025-06-03
ビビ,狂犬病,2026-05-15
みるく,混合,2025-08-06
みるく,狂犬病,2026-05-01
ひまわり,混合,2025-10-07
ひまわり,狂犬病,2026-05-01
ムム,混合,2025-10-07
ムム,狂犬病,2026-05-01
マム,混合,2026-02-02
マム,狂犬病,2026-05-01
うる,混合,2025-12-27
うる,狂犬病,2026-06-22
ぷぷ,混合,2026-02-16
ぷぷ,狂犬病,2026-05-01
パール,混合,2026-07-18
パール,狂犬病,2026-05-15
サファイヤ,混合,2026-02-16
サファイヤ,狂犬病,2026-04-11
琥珀,混合,2026-02-16
琥珀,狂犬病,2026-04-04
真珠,混合,2026-03-18
真珠,狂犬病,2026-04-27
クリフ,混合,2026-02-16
クリフ,狂犬病,2026-04-04
ヴァン,混合,2026-02-16
ヴァン,狂犬病,2026-04-04
ピケ,混合,2026-02-16
ピケ,狂犬病,2026-04-04
ポロ,混合,2026-02-16
ポロ,狂犬病,2026-04-04
ピアジェ,混合,2026-02-16
ピアジェ,狂犬病,2026-04-04
グラフ,混合,2026-07-18
グラフ,狂犬病,2026-05-15
ルイ,混合,2026-02-16
ルイ,狂犬病,2026-04-04
エルメス,混合,2026-02-16
エルメス,狂犬病,2026-04-04
ヴィトン,混合,2026-02-16
ヴィトン,狂犬病,2026-05-15
モンクレール,混合,2025-12-05
モンクレール,狂犬病,2026-05-01
ディオ,混合,2026-02-16
ディオ,狂犬病,2026-04-04
ドルチェ,混合,2026-02-16
ドルチェ,狂犬病,2026-04-11
プラダ,混合,2026-02-16
プラダ,狂犬病,2026-04-11
ハリー,混合,2026-03-13
ハリー,狂犬病,2026-05-01
ハク,混合,2025-10-07
ハク,狂犬病,2026-04-04
ウルフ,混合,2026-06-22
ハーツ,混合,2024-08-12
ハーツ,狂犬病,2025-05-23
ロレックス,混合,2024-11-15
ダンヒル,混合,2023-07-31
ゆきお,混合,2023-12-11
ポール,混合,2023-12-11
ハリー（退役）,混合,2024-03-04
プラダ（退役）,混合,2024-02-19
プラダ（退役）,狂犬病,2025-06-03
クロム,混合,2024-03-04
ラルフ,混合,2024-07-07
